DATE,PSUNOUSDM
2/1/2009,1038.1
3/1/2009,831.4090909
4/1/2009,929.0454545
5/1/2009,1043.809524
6/1/2009,1115.545455
7/1/2009,1021.869565
8/1/2009,1078.904762
9/1/2009,1021.409091
10/1/2009,1005.227273
11/1/2009,1070.428571
12/1/2009,1132.913043
1/1/2010,1113.619048
2/1/2010,1091.4
3/1/2010,1105.217391
4/1/2010,1132.772727
5/1/2010,1102.52381
6/1/2010,1090.318182
7/1/2010,1094.772727
8/1/2010,1140.045455
9/1/2010,1195.181818
10/1/2010,1304.142857
11/1/2010,1395.772727
12/1/2010,1466.26087
1/1/2011,1528.952381
2/1/2011,1591.5
3/1/2011,1576.956522
4/1/2011,1691.761905
5/1/2011,1701.181818
6/1/2011,1700.863636
7/1/2011,1676.428571
8/1/2011,1666.043478
9/1/2011,1672.772727
10/1/2011,1565.190476
11/1/2011,1554.772727
12/1/2011,1535.636364
1/1/2012,1553.409091
2/1/2012,1441
3/1/2012,1441
4/1/2012,1441
5/1/2012,1441
6/1/2012,1441
7/1/2012,1505.544792
8/1/2012,1549.858152
9/1/2012,1582.848438
10/1/2012,1483.159692
11/1/2012,1483.029167
12/1/2012,1510.905655
1/1/2013,1506.784783
2/1/2013,1512.599688
3/1/2013,1462.014583
4/1/2013,1439.226042
5/1/2013,1466.974547
6/1/2013,1472.071563
7/1/2013,1375.476268
8/1/2013,1152.390625
9/1/2013,1158.375298
10/1/2013,1187.12817
11/1/2013,1192.398909
12/1/2013,1169.175
1/1/2014,1110.118207
2/1/2014,1137.039063
3/1/2014,1152.085218
4/1/2014,1125.098958
5/1/2014,1127.282292
6/1/2014,1112.05744
7/1/2014,1061.823822
8/1/2014,992.5459325
9/1/2014,983.0458333
10/1/2014,1044.725
11/1/2014,1068.891771
12/1/2014,1049.032337
1/1/2015,1004.196875
2/1/2015,960.5165625
3/1/2015,957.2552083
4/1/2015,1002.013542
5/1/2015,1081.893651
6/1/2015,1102.85625
7/1/2015,1069.263768
8/1/2015,980.2516865
9/1/2015,981.68125
10/1/2015,1059.053125
11/1/2015,1045.010913
12/1/2015,1022.144112
1/1/2016,1020.136508
2/1/2016,1039.578571
3/1/2016,1013.921014
4/1/2016,1028.427976
5/1/2016,1040.221875
6/1/2016,1017.296875
7/1/2016,975.1052579
8/1/2016,981.9423007
9/1/2016,989.05
10/1/2016,998.4071429
11/1/2016,1000.485208
12/1/2016,1012.247917
1/1/2017,980.8625
2/1/2017,966.9710417
3/1/2017,936.7805254
4/1/2017,939.9522917
5/1/2017,949.8330616
6/1/2017,936.240625
7/1/2017,951.9463294
8/1/2017,967.8455616
9/1/2017,971.8172619
10/1/2017,945.246875
11/1/2017,948.521875
12/1/2017,940.3668651
1/1/2018,935.4752717
2/1/2018,951.960625
3/1/2018,946.6114583
4/1/2018,957.950496
5/1/2018,938.9994565
6/1/2018,911.6326389
7/1/2018,932.146875
8/1/2018,889.1387681
9/1/2018,857.5451042
10/1/2018,855.7242754
11/1/2018,818.0677083
12/1/2018,814.4223214
1/1/2019,827.5307971
2/1/2019,847.2195175
3/1/2019,840.869246
4/1/2019,840.7197917
5/1/2019,871.5178442
6/1/2019,885.7646875
7/1/2019,913.1554348
8/1/2019,908.6760417
9/1/2019,904.0559524
10/1/2019,884.9619565
11/1/2019,912.6333333
12/1/2019,965.0333333
1/1/2020,1000.215851
2/1/2020,913.6840625
3/1/2020,846.996875
4/1/2020,878.2458333
5/1/2020,900.0531746
6/1/2020,963.9416667
7/1/2020,974.110779
8/1/2020,1033.431448
9/1/2020,1188.552083
10/1/2020,1198.377083
11/1/2020,1348.078373
12/1/2020,1432.385326
1/1/2021,1551.076389
2/1/2021,1653.5475
